origin,destination,origin_iso3,destination_iso3,n_researchers,phd_year_min,phd_year_max,phd_year_mean,origin_year_min,origin_year_max,origin_year_mean,route
CN,US,CHN,USA,3508,1980,2017,2011,1951,2012,2000,CN → US
IN,US,IND,USA,1916,1970,2016,2009,1957,2012,1998,IN → US
CA,US,CAN,USA,1029,1962,2016,2004,1948,2013,1995,CA → US
GB,US,GBR,USA,940,1959,2016,2000,1947,2014,1992,GB → US
US,GB,USA,GBR,786,1962,2016,2006,1954,2013,1997,US → GB
GB,AU,GBR,AUS,719,1965,2016,2000,1950,2014,1991,GB → AU
US,KR,USA,KOR,709,1970,2016,2000,1963,2014,1995,US → KR
US,CA,USA,CAN,616,1964,2016,2001,1953,2013,1993,US → CA
US,TW,USA,TWN,610,1966,2016,1997,1963,2013,1992,US → TW
KR,US,KOR,USA,562,1974,2017,2010,1956,2012,1997,KR → US
IT,GB,ITA,GBR,507,1987,2017,2011,1968,2013,2001,IT → GB
DE,US,DEU,USA,480,1968,2016,2004,1956,2013,1996,DE → US
US,AU,USA,AUS,468,1961,2016,2003,1953,2015,1994,US → AU
CN,GB,CHN,GBR,440,1971,2016,2009,1968,2012,1999,CN → GB
CN,AU,CHN,AUS,423,1986,2017,2010,1977,2012,1999,CN → AU
DE,GB,DEU,GBR,396,1982,2016,2008,1969,2013,1998,DE → GB
IR,US,IRN,USA,367,1989,2017,2014,1971,2012,2002,IR → US
US,CN,USA,CHN,345,1969,2016,2004,1957,2012,1999,US → CN
ES,GB,ESP,GBR,342,1990,2016,2010,1970,2012,2000,ES → GB
FR,US,FRA,USA,339,1968,2016,2007,1948,2013,2000,FR → US
IN,GB,IND,GBR,323,1969,2016,2010,1959,2012,1998,IN → GB
IT,US,ITA,USA,299,1969,2016,2009,1964,2010,1998,IT → US
RU,US,RUS,USA,294,1958,2016,2000,1955,2011,1988,RU → US
FR,GB,FRA,GBR,286,1974,2016,2008,1964,2013,2001,FR → GB
ES,US,ESP,USA,276,1985,2016,2009,1963,2010,1999,ES → US
BR,US,BRA,USA,271,1986,2016,2010,1972,2012,1999,BR → US
GR,GB,GRC,GBR,266,1980,2017,2011,1972,2012,1999,GR → GB
CA,GB,CAN,GBR,265,1969,2016,2008,1959,2011,1998,CA → GB
TW,US,TWN,USA,261,1972,2016,2008,1960,2012,1996,TW → US
DE,CH,DEU,CHE,253,1982,2017,2007,1964,2012,1998,DE → CH
IE,GB,IRL,GBR,238,1972,2016,2006,1965,2013,1997,IE → GB
AU,GB,AUS,GBR,235,1967,2016,2006,1958,2012,1996,AU → GB
GB,MY,GBR,MYS,229,1972,2016,2004,1969,2011,1996,GB → MY
JP,US,JPN,USA,227,1969,2016,2004,1954,2012,1996,JP → US
CN,CA,CHN,CAN,216,1985,2016,2009,1968,2012,1998,CN → CA
AU,US,AUS,USA,216,1968,2016,2003,1953,2013,1994,AU → US
NZ,AU,NZL,AUS,213,1957,2016,2006,1952,2011,1996,NZ → AU
CN,HK,CHN,HKG,213,1989,2016,2013,1977,2012,2002,CN → HK
US,DE,USA,DEU,209,1970,2016,2006,1964,2013,1998,US → DE
NL,GB,NLD,GBR,208,1975,2016,2007,1969,2012,1998,NL → GB
CN,SG,CHN,SGP,207,1987,2017,2009,1967,2011,2000,CN → SG
TR,US,TUR,USA,206,1975,2016,2011,1966,2012,1999,TR → US
IN,AU,IND,AUS,198,1968,2016,2008,1954,2012,1995,IN → AU
IN,SA,IND,SAU,198,1980,2016,2008,1976,2012,2000,IN → SA
