iso3,IndicatorCode,Year,Value,IndicatorName
ARB,SP.POP.TOTL,1960,92495902.0,Población total
CSS,NY.GDP.PCAP.CD,1960,457.46471203794,PIB per cápita (USD)
CSS,SP.POP.TOTL,1960,4190810.0,Población total
CEB,SP.POP.TOTL,1960,91401583.0,Población total
EAS,NY.GDP.PCAP.CD,1960,146.814137996928,PIB per cápita (USD)
EAS,SP.POP.TOTL,1960,1042475394.0,Población total
EAP,NY.GDP.PCAP.CD,1960,89.3196387483802,PIB per cápita (USD)
EAP,SP.POP.TOTL,1960,896492991.0,Población total
EMU,NY.GDP.PCAP.CD,1960,924.571392984188,PIB per cápita (USD)
EMU,SP.POP.TOTL,1960,265396501.0,Población total
ECS,NY.GDP.PCAP.CD,1960,648.223440928709,PIB per cápita (USD)
ECS,SP.POP.TOTL,1960,667489033.0,Población total
ECA,SP.POP.TOTL,1960,155317369.0,Población total
EUU,NY.GDP.PCAP.CD,1960,876.477907011713,PIB per cápita (USD)
EUU,SP.POP.TOTL,1960,409498462.0,Población total
FCS,SP.POP.TOTL,1960,120354582.0,Población total
HPC,NY.GDP.PCAP.CD,1960,107.416655123255,PIB per cápita (USD)
HPC,SP.POP.TOTL,1960,162491185.0,Población total
HIC,NY.GDP.PCAP.CD,1960,1240.38595530118,PIB per cápita (USD)
HIC,SP.POP.TOTL,1960,907597507.0,Población total
NOC,SP.POP.TOTL,1960,186676748.0,Población total
OEC,NY.GDP.PCAP.CD,1960,1448.14247866687,PIB per cápita (USD)
OEC,SP.POP.TOTL,1960,720920759.0,Población total
LCN,NY.GDP.PCAP.CD,1960,367.8116426983101,PIB per cápita (USD)
LCN,SP.POP.TOTL,1960,220564224.0,Población total
LAC,NY.GDP.PCAP.CD,1960,246.085732436959,PIB per cápita (USD)
LAC,SP.POP.TOTL,1960,177682238.0,Población total
LDC,SP.POP.TOTL,1960,241072814.0,Población total
LMY,NY.GDP.PCAP.CD,1960,111.867976863414,PIB per cápita (USD)
LMY,SP.POP.TOTL,1960,2127373057.0,Población total
LIC,SP.POP.TOTL,1960,157188433.0,Población total
LMC,NY.GDP.PCAP.CD,1960,97.9808321919583,PIB per cápita (USD)
LMC,SP.POP.TOTL,1960,942911642.0,Población total
MEA,SP.POP.TOTL,1960,105512645.0,Población total
MNA,SP.POP.TOTL,1960,97869415.0,Población total
MIC,NY.GDP.PCAP.CD,1960,114.302844456299,PIB per cápita (USD)
MIC,SP.POP.TOTL,1960,1970184624.0,Población total
NAC,NY.GDP.PCAP.CD,1960,2942.62886994413,PIB per cápita (USD)
NAC,SP.POP.TOTL,1960,198624409.0,Población total
OED,NY.GDP.PCAP.CD,1960,1361.93278682331,PIB per cápita (USD)
OED,SP.POP.TOTL,1960,786648153.0,Población total
OSS,SP.POP.TOTL,1960,6590560.0,Población total
PSS,SP.POP.TOTL,1960,861378.0,Población total
SST,SP.POP.TOTL,1960,11642748.0,Población total
SAS,NY.GDP.PCAP.CD,1960,83.36673868222441,PIB per cápita (USD)
SAS,SP.POP.TOTL,1960,572036107.0,Población total
SSF,NY.GDP.PCAP.CD,1960,129.663074735572,PIB per cápita (USD)
SSF,SP.POP.TOTL,1960,228268752.0,Población total
SSA,NY.GDP.PCAP.CD,1960,129.818502264119,PIB per cápita (USD)
SSA,SP.POP.TOTL,1960,227974937.0,Población total
UMC,NY.GDP.PCAP.CD,1960,131.622503588371,PIB per cápita (USD)
UMC,SP.POP.TOTL,1960,1027272982.0,Población total
WLD,NY.GDP.PCAP.CD,1960,450.289471660756,PIB per cápita (USD)
WLD,SP.POP.TOTL,1960,3034970564.0,Población total
AFG,NY.GDP.PCAP.CD,1960,59.787680707172605,PIB per cápita (USD)
AFG,SP.POP.TOTL,1960,8994793.0,Población total
ALB,SP.POP.TOTL,1960,1608800.0,Población total
DZA,NY.GDP.PCAP.CD,1960,244.82373534345,PIB per cápita (USD)
DZA,SP.POP.TOTL,1960,11124892.0,Población total
ASM,SP.POP.TOTL,1960,20012.0,Población total
ADO,SP.POP.TOTL,1960,13414.0,Población total
AGO,SP.POP.TOTL,1960,5270844.0,Población total
ATG,SP.POP.TOTL,1960,54681.0,Población total
ARG,SP.POP.TOTL,1960,20619075.0,Población total
ARM,SP.POP.TOTL,1960,1867396.0,Población total
ABW,SP.POP.TOTL,1960,54208.0,Población total
AUS,NY.GDP.PCAP.CD,1960,1806.80487639292,PIB per cápita (USD)
AUS,SP.POP.TOTL,1960,10276477.0,Población total
AUT,NY.GDP.PCAP.CD,1960,935.460426850415,PIB per cápita (USD)
AUT,SP.POP.TOTL,1960,7047539.0,Población total
AZE,SP.POP.TOTL,1960,3897889.0,Población total
BHS,NY.GDP.PCAP.CD,1960,1550.3374336237198,PIB per cápita (USD)
BHS,SP.POP.TOTL,1960,109526.0,Población total
BHR,SP.POP.TOTL,1960,162501.0,Población total
BGD,NY.GDP.PCAP.CD,1960,88.689453391453,PIB per cápita (USD)
BGD,SP.POP.TOTL,1960,48200702.0,Población total
BRB,SP.POP.TOTL,1960,230934.0,Población total
BLR,SP.POP.TOTL,1960,8198000.0,Población total
BEL,NY.GDP.PCAP.CD,1960,1273.69165910289,PIB per cápita (USD)
BEL,SP.POP.TOTL,1960,9153489.0,Población total
BLZ,NY.GDP.PCAP.CD,1960,304.910281357897,PIB per cápita (USD)
BLZ,SP.POP.TOTL,1960,92068.0,Población total
BEN,NY.GDP.PCAP.CD,1960,93.0225849709273,PIB per cápita (USD)
BEN,SP.POP.TOTL,1960,2431620.0,Población total
BMU,NY.GDP.PCAP.CD,1960,1902.4021189224,PIB per cápita (USD)
BMU,SP.POP.TOTL,1960,44400.0,Población total
BTN,SP.POP.TOTL,1960,224108.0,Población total
BOL,NY.GDP.PCAP.CD,1960,152.46176324546698,PIB per cápita (USD)
BOL,SP.POP.TOTL,1960,3693451.0,Población total
BIH,SP.POP.TOTL,1960,3214520.0,Población total
BWA,NY.GDP.PCAP.CD,1960,58.03384675052239,PIB per cápita (USD)
BWA,SP.POP.TOTL,1960,524029.0,Población total
BRA,NY.GDP.PCAP.CD,1960,209.19878514105704,PIB per cápita (USD)
BRA,SP.POP.TOTL,1960,72493585.0,Población total
BRN,SP.POP.TOTL,1960,81825.0,Población total
BGR,SP.POP.TOTL,1960,7867374.0,Población total
BFA,NY.GDP.PCAP.CD,1960,68.4247056730124,PIB per cápita (USD)
BFA,SP.POP.TOTL,1960,4829291.0,Población total
BDI,NY.GDP.PCAP.CD,1960,70.33307377078589,PIB per cápita (USD)
BDI,SP.POP.TOTL,1960,2786740.0,Población total
CPV,SP.POP.TOTL,1960,202316.0,Población total
KHM,NY.GDP.PCAP.CD,1960,111.342479726807,PIB per cápita (USD)
KHM,SP.POP.TOTL,1960,5722370.0,Población total
CMR,NY.GDP.PCAP.CD,1960,115.407313460354,PIB per cápita (USD)
CMR,SP.POP.TOTL,1960,5361367.0,Población total
CAN,NY.GDP.PCAP.CD,1960,2294.56881421577,PIB per cápita (USD)
CAN,SP.POP.TOTL,1960,17909009.0,Población total
CYM,SP.POP.TOTL,1960,7867.0,Población total
CAF,NY.GDP.PCAP.CD,1960,74.5962911297981,PIB per cápita (USD)
CAF,SP.POP.TOTL,1960,1503501.0,Población total
TCD,NY.GDP.PCAP.CD,1960,104.437202886472,PIB per cápita (USD)
TCD,SP.POP.TOTL,1960,3002596.0,Población total
CHI,SP.POP.TOTL,1960,109419.0,Población total
CHL,NY.GDP.PCAP.CD,1960,547.285026578366,PIB per cápita (USD)
CHL,SP.POP.TOTL,1960,7695692.0,Población total
CHN,NY.GDP.PCAP.CD,1960,88.722497622435,PIB per cápita (USD)
CHN,SP.POP.TOTL,1960,667070000.0,Población total
COL,NY.GDP.PCAP.CD,1960,245.19746049265203,PIB per cápita (USD)
COL,SP.POP.TOTL,1960,16480384.0,Población total
COM,SP.POP.TOTL,1960,188732.0,Población total
ZAR,NY.GDP.PCAP.CD,1960,220.314135299101,PIB per cápita (USD)
ZAR,SP.POP.TOTL,1960,15248246.0,Población total
COG,NY.GDP.PCAP.CD,1960,129.966783679841,PIB per cápita (USD)
COG,SP.POP.TOTL,1960,1013581.0,Población total
CRI,NY.GDP.PCAP.CD,1960,380.720647233651,PIB per cápita (USD)
CRI,SP.POP.TOTL,1960,1333042.0,Población total
CIV,NY.GDP.PCAP.CD,1960,157.19336512971,PIB per cápita (USD)
CIV,SP.POP.TOTL,1960,3474724.0,Población total
HRV,SP.POP.TOTL,1960,4140000.0,Población total
CUB,SP.POP.TOTL,1960,7141129.0,Población total
CUW,SP.POP.TOTL,1960,124826.0,Población total
CYP,SP.POP.TOTL,1960,572929.0,Población total
CZE,SP.POP.TOTL,1960,9602006.0,Población total
DNK,NY.GDP.PCAP.CD,1960,1364.51716017255,PIB per cápita (USD)
DNK,SP.POP.TOTL,1960,4579603.0,Población total
DJI,SP.POP.TOTL,1960,83636.0,Población total
DMA,SP.POP.TOTL,1960,60016.0,Población total
DOM,NY.GDP.PCAP.CD,1960,204.126211013288,PIB per cápita (USD)
DOM,SP.POP.TOTL,1960,3294039.0,Población total
ECU,NY.GDP.PCAP.CD,1960,222.266960557926,PIB per cápita (USD)
ECU,SP.POP.TOTL,1960,4545548.0,Población total
EGY,SP.POP.TOTL,1960,27072397.0,Población total
SLV,SP.POP.TOTL,1960,2762897.0,Población total
GNQ,SP.POP.TOTL,1960,252115.0,Población total
ERI,SP.POP.TOTL,1960,1407631.0,Población total
EST,SP.POP.TOTL,1960,1211537.0,Población total
ETH,SP.POP.TOTL,1960,22151218.0,Población total
FRO,SP.POP.TOTL,1960,34266.0,Población total
FJI,NY.GDP.PCAP.CD,1960,285.559793882226,PIB per cápita (USD)
FJI,SP.POP.TOTL,1960,393383.0,Población total
FIN,NY.GDP.PCAP.CD,1960,1179.35301099994,PIB per cápita (USD)
FIN,SP.POP.TOTL,1960,4429634.0,Población total
FRA,NY.GDP.PCAP.CD,1960,1338.29960630568,PIB per cápita (USD)
FRA,SP.POP.TOTL,1960,46814237.0,Población total
PYF,SP.POP.TOTL,1960,78083.0,Población total
GAB,NY.GDP.PCAP.CD,1960,283.397626089531,PIB per cápita (USD)
GAB,SP.POP.TOTL,1960,499189.0,Población total
GMB,SP.POP.TOTL,1960,367929.0,Población total
GEO,SP.POP.TOTL,1960,3645600.0,Población total
DEU,SP.POP.TOTL,1960,72814900.0,Población total
GHA,NY.GDP.PCAP.CD,1960,182.979246224725,PIB per cápita (USD)
GHA,SP.POP.TOTL,1960,6652285.0,Población total
GRC,NY.GDP.PCAP.CD,1960,533.686381232649,PIB per cápita (USD)
GRC,SP.POP.TOTL,1960,8331725.0,Población total
GRL,SP.POP.TOTL,1960,32500.0,Población total
GRD,SP.POP.TOTL,1960,89861.0,Población total
